Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
2,4.3125,3.3125,-3.1875,0.8574219,0.5175781,0.1210938,-0.3173828,-0.1220703,-0.04052734
6,0.9375,0.4375,-1.0625,0.8535156,0.5019531,0.1171875,-0.3188477,-0.1206055,-0.04199219
10,0.0625,-1.375,-0.1875,0.8842773,0.4907227,0.1132813,-0.3188477,-0.1220703,-0.04052734
14,-0.125,-0.125,0.25,0.8881836,0.4829102,0.09033203,-0.3173828,-0.1230469,-0.04199219
18,1.9375,1.9375,0.4375,0.8881836,0.4672852,0.08642578,-0.3173828,-0.1230469,-0.04199219
22,4.5,3.4375,-0.0625,0.8769531,0.4555664,0.08251953,-0.3173828,-0.1220703,-0.04199219
26,6.375,3.9375,0.8125,0.8730469,0.4750977,0.09423828,-0.3198242,-0.1220703,-0.04199219
30,5.8125,4.875,3.375,0.8881836,0.5058594,0.1020508,-0.3173828,-0.1230469,-0.04199219
34,4.4375,4.5,4.5625,0.8613281,0.4985352,0.09814453,-0.3188477,-0.1206055,-0.04345703
38,2.75,3.375,4.75,0.8730469,0.5019531,0.09814453,-0.3188477,-0.1220703,-0.04199219
42,1.0625,1.1875,5.5625,0.8769531,0.4711914,0.09814453,-0.3173828,-0.1196289,-0.04199219
46,-1.8125,-3.3125,7.9375,0.9350586,0.4516602,0.1132813,-0.3173828,-0.1196289,-0.04345703
50,-7.5,-7.5,17.1875,1.012207,0.4516602,0.1479492,-0.3198242,-0.1196289,-0.04345703
54,-11.125,-10.375,28.625,1.05127,0.4125977,0.1518555,-0.3188477,-0.1166992,-0.04052734
58,-12.3125,-8.25,39.3125,1.113281,0.4125977,0.1557617,-0.3198242,-0.1132813,-0.04052734
62,-13.6875,-0.1875,44.375,1.105469,0.3896484,0.159668,-0.3198242,-0.1108398,-0.04052734
66,-14.125,7.5625,44.8125,1.0625,0.3935547,0.159668,-0.3198242,-0.1069336,-0.04199219
70,-17.1875,12.5625,49.5,1.055176,0.4165039,0.1787109,-0.3222656,-0.1030273,-0.04199219
74,-22.1875,12.125,56.875,0.9970703,0.3779297,0.1787109,-0.3222656,-0.09814453,-0.04199219
78,-26.375,11,63.1875,1.047363,0.3818359,0.1557617,-0.324707,-0.09326172,-0.04345703
83,-28.3125,9.4375,71.5,1.043457,0.2924805,0.144043,-0.324707,-0.08544922,-0.04638672
87,-27.5,11.1875,77.9375,1.159668,0.3193359,0.1865234,-0.324707,-0.07958984,-0.04736328
91,-34.4375,18.0625,86.3125,1.225586,0.3310547,0.2094727,-0.324707,-0.07080078,-0.04736328
95,-37.9375,21.4375,90.625,1.22168,0.2338867,0.1904297,-0.3256836,-0.06298828,-0.05029297
99,-37.0625,21.0625,98.8125,1.248535,0.1914063,0.1713867,-0.3271484,-0.05712891,-0.05273438
103,-34.1875,21.6875,109.25,1.29541,0.1367188,0.1748047,-0.324707,-0.04589844,-0.05566406
107,-30.25,25.625,114.4375,1.330078,0.1254883,0.1982422,-0.3256836,-0.03320313,-0.05566406
111,-31.25,27.0625,115.125,1.388184,0.1679688,0.2290039,-0.3256836,-0.02441406,-0.05859375
115,-41.6875,28.8125,121.5625,1.477539,0.1953125,0.2636719,-0.324707,-0.01318359,-0.0625
119,-45.9375,27.1875,139,1.469727,0.05517578,0.2402344,-0.3232422,-0.0004882813,-0.0625
123,-38.6875,27.6875,150.5625,1.461914,-0.02197266,0.2211914,-0.3208008,0.01025391,-0.06542969
127,-30.125,29.5,157.5,1.48877,-0.04882813,0.2021484,-0.3198242,0.02734375,-0.06640625
131,-24.3125,30.8125,165.5,1.516113,-0.01806641,0.2402344,-0.3125,0.04248047,-0.06933594
135,-27.3125,40.875,164.875,1.616699,0.07861328,0.2866211,-0.3105469,0.05273438,-0.06933594
139,-31.75,42.3125,178.6875,1.512207,-0.06054688,0.2558594,-0.3032227,0.06738281,-0.07324219
143,-24.3125,36.0625,195.3125,1.461914,-0.1616211,0.2402344,-0.2973633,0.08886719,-0.07617188
147,-16.5,35.125,204.375,1.52002,-0.09570313,0.2519531,-0.2915039,0.1000977,-0.07861328
151,-15.3125,42.6875,209.625,1.582031,-0.04882813,0.2636719,-0.2817383,0.1186523,-0.08154297
155,-16.4375,53.0625,216.9375,1.597656,-0.06445313,0.2636719,-0.2709961,0.1386719,-0.08544922
159,-15,55.875,230.75,1.407715,-0.1420898,0.2250977,-0.2617188,0.1513672,-0.08691406
163,-7.9375,51.5,242.25,1.372559,-0.09570313,0.2368164,-0.2460938,0.1699219,-0.09082031
167,-4.625,54.8125,245.6875,1.345703,-0.06054688,0.2597656,-0.2294922,0.1884766,-0.09375
171,-2.75,60.8125,245.9375,1.244629,-0.06835938,0.2441406,-0.2163086,0.1987305,-0.09912109
