Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,37.9375,-45.25,51.9375,0.4233398,0.8442383,0.02099609,-0.1914063,-0.296875,-0.1401367
4,30.375,-50.5,57.6875,0.5200195,0.9375,0.04443359,-0.1962891,-0.2929688,-0.1347656
8,21.5,-38.5,52.125,0.609375,0.9643555,0.05957031,-0.2006836,-0.2895508,-0.1289063
12,12.875,-20.5,39.375,0.5898438,0.9604492,0.07910156,-0.2045898,-0.2880859,-0.1279297
16,6.6875,-5.8125,25.0625,0.5087891,0.9682617,0.05957031,-0.2089844,-0.2866211,-0.1235352
20,-0.4375,-8.0625,17.4375,0.3266602,0.9643555,0.02490234,-0.2104492,-0.2856445,-0.1235352
24,-5.625,-21.1875,14.8125,0.3417969,0.9643555,0.01367188,-0.2114258,-0.2841797,-0.1225586
28,-9.8125,-22,11.375,0.4389648,1.022949,0.02880859,-0.2128906,-0.2841797,-0.1225586
32,-12,-13.625,1.125,0.4233398,0.9956055,0.03662109,-0.215332,-0.2832031,-0.1210938
36,-9.375,-3,-13,0.3999023,1.026855,0.03662109,-0.215332,-0.2832031,-0.1225586
40,-8.75,4.125,-20.5625,0.3613281,1.100586,0.04052734,-0.2138672,-0.2832031,-0.1235352
44,-9,6.5,-23.75,0.2993164,1.158691,0.04785156,-0.2114258,-0.2856445,-0.1225586
49,-6.875,9.5625,-30,0.3457031,1.232422,0.05175781,-0.2104492,-0.2841797,-0.1264648
53,-5.875,19.0625,-36.375,0.3305664,1.314453,0.06347656,-0.2080078,-0.2880859,-0.125
57,-5.875,29.125,-40.6875,0.2490234,1.36084,0.07519531,-0.203125,-0.2905273,-0.1289063
61,-6,36.3125,-47.25,0.1054688,1.43457,0.04785156,-0.203125,-0.2905273,-0.1303711
65,-12.75,31.4375,-45.75,-0.06445313,1.590332,0.03662109,-0.1948242,-0.2954102,-0.1333008
69,-26.6875,17.5,-45.0625,-0.1381836,1.671875,0.04052734,-0.1923828,-0.296875,-0.137207
73,-34.75,7.75,-52.6875,-0.1381836,1.648438,0.03271484,-0.1899414,-0.2983398,-0.137207
77,-35.25,5.3125,-67.125,-0.1225586,1.625,0.01708984,-0.1855469,-0.3032227,-0.1425781
81,-30,2.8125,-85.75,-0.1030273,1.570801,0.01367188,-0.1791992,-0.3041992,-0.1455078
85,-24.25,1.3125,-98.625,-0.01806641,1.590332,0.01367188,-0.1748047,-0.3066406,-0.1484375
89,-19.9375,-2.5,-106.875,-0.002441406,1.597656,0.04052734,-0.1665039,-0.3144531,-0.1508789
93,-17.25,-6.125,-112.5625,0.04736328,1.694824,0.06347656,-0.1591797,-0.3178711,-0.1508789
97,-18.3125,-12.5625,-121.5,0.02441406,1.733887,0.08642578,-0.1533203,-0.3232422,-0.1523438
101,-21.125,-25.0625,-134.6875,0.07861328,1.803711,0.09814453,-0.1425781,-0.328125,-0.1547852
105,-26.4375,-29.0625,-145.375,0.2915039,1.807617,0.140625,-0.1318359,-0.3330078,-0.1547852
109,-23.1875,-23.1875,-149.25,0.4428711,1.733887,0.1943359,-0.1235352,-0.3393555,-0.15625
113,-11.5625,-3.4375,-157.4375,0.5126953,1.76123,0.2060547,-0.112793,-0.3442383,-0.1606445
117,5.25,15.875,-163.8125,0.3925781,1.81543,0.2480469,-0.09716797,-0.3520508,-0.1606445
121,12.375,23.75,-171.625,0.2373047,1.900879,0.2597656,-0.08789063,-0.3520508,-0.1577148
125,-4.0625,12.1875,-177.8125,0.1171875,2.060059,0.2558594,-0.06884766,-0.359375,-0.1616211
129,-28.25,-6.875,-176.4375,0.190918,1.95166,0.2021484,-0.05322266,-0.3618164,-0.1616211
133,-42.1875,-14,-173.4375,0.3652344,1.737793,0.1787109,-0.04150391,-0.3642578,-0.1630859
137,-45.6875,-16.0625,-173.75,0.3847656,1.531738,0.1171875,-0.02490234,-0.3657227,-0.168457
141,-39.1875,-16.5,-177.0625,0.4697266,1.395996,0.09423828,-0.01025391,-0.3657227,-0.1728516
145,-30.4375,-10.875,-180.125,0.543457,1.283203,0.1020508,0.0009765625,-0.3642578,-0.1738281
149,-26.5625,-4.3125,-174.25,0.4736328,1.255859,0.1210938,0.01757813,-0.3618164,-0.175293
153,-28.25,-10.875,-172.3125,0.3032227,1.251953,0.1020508,0.03417969,-0.3603516,-0.1782227
157,-44.375,-24.375,-176.3125,0.3613281,1.267578,0.105957,0.04248047,-0.359375,-0.1821289
161,-64.875,-36.3125,-166.125,0.4541016,1.124023,0.1020508,0.05712891,-0.3554688,-0.1875
165,-81.1875,-45.0625,-152,0.4541016,0.9023438,0.08642578,0.07128906,-0.3457031,-0.1943359
169,-91.25,-49.25,-142.25,0.4736328,0.7314453,0.08251953,0.07714844,-0.3408203,-0.2011719
173,-102.125,-53.1875,-131,0.4697266,0.5136719,0.07128906,0.08691406,-0.3330078,-0.2109375
178,-108.25,-55.125,-117.3125,0.4853516,0.2729492,0.02490234,0.09521484,-0.3217773,-0.2216797
182,-101.0625,-46.875,-106.625,0.5317383,0.05517578,-0.005371094,0.09521484,-0.3144531,-0.2246094
186,-86.125,-34.8125,-96.8125,0.4619141,-0.1191406,-0.04736328,0.1010742,-0.3056641,-0.2353516
190,-71.5,-29.8125,-79.5,0.3496094,-0.3173828,-0.06298828,0.1069336,-0.296875,-0.2421875
194,-57.8125,-27.1875,-65.9375,0.3227539,-0.4101563,-0.04394531,0.1079102,-0.2919922,-0.2460938
198,-39.8125,-17,-56.0625,0.3110352,-0.5112305,-0.02441406,0.1103516,-0.2856445,-0.25
202,-22.25,-2.3125,-53.75,0.2836914,-0.3481445,-0.01660156,0.112793,-0.2807617,-0.2514648
206,-4,2.25,-39.625,0.109375,-0.484375,0.02099609,0.1176758,-0.2807617,-0.2514648
210,4.5,-0.6875,-23.25,0.06298828,-0.46875,0.06347656,0.1201172,-0.2768555,-0.2529297
214,13.75,-3.375,-7.125,0.08642578,-0.4882813,0.09033203,0.1201172,-0.2783203,-0.2529297
218,24.875,1.8125,8.8125,0.08642578,-0.421875,0.125,0.1210938,-0.2807617,-0.25
222,35.9375,6.5,22.4375,-0.01806641,-0.3833008,0.1210938,0.1201172,-0.2832031,-0.2490234
226,50.0625,7.375,37.3125,-0.03710938,-0.2861328,0.1171875,0.1176758,-0.2880859,-0.2460938
230,63.6875,18.5625,47.0625,-0.01025391,-0.1230469,0.144043,0.1176758,-0.2905273,-0.2436523
234,78.75,31.25,52.6875,-0.09521484,-0.05273438,0.140625,0.1166992,-0.296875,-0.2392578
238,93.3125,39.5625,58.625,-0.1186523,0.1293945,0.1635742,0.1142578,-0.3041992,-0.230957
242,94.625,41.75,65.3125,-0.1806641,0.3466797,0.1865234,0.1118164,-0.3105469,-0.2255859
246,88.3125,37.5625,71.3125,-0.2119141,0.5097656,0.2329102,0.1103516,-0.3168945,-0.2177734
250,65.8125,27.0625,81.75,-0.2001953,0.6655273,0.2636719,0.1044922,-0.3256836,-0.2080078
254,39.875,12.3125,92.4375,-0.1459961,0.6303711,0.2172852,0.09960938,-0.328125,-0.2055664
258,31.375,11.9375,96.0625,0.05517578,0.5566406,0.1826172,0.09375,-0.3344727,-0.2041016
262,37.5625,22.4375,95.5625,0.09765625,0.5019531,0.1367188,0.08691406,-0.3393555,-0.199707
266,45.5,30.3125,95.6875,0.09375,0.6030273,0.1020508,0.08203125,-0.3417969,-0.1958008
270,44.4375,33.5,96.25,0.07080078,0.6884766,0.07910156,0.07617188,-0.3466797,-0.1918945
274,38.6875,29.3125,97.4375,0.02441406,0.7353516,0.03662109,0.06884766,-0.3520508,-0.1889648
278,35.875,19.75,107.1875,0.02441406,0.6811523,-0.01318359,0.06396484,-0.3530273,-0.1850586
282,44.5,20.4375,112.25,0.1948242,0.6459961,-0.08203125,0.05712891,-0.3569336,-0.1796875
286,67.5625,35.25,109.625,0.3071289,0.6923828,-0.08984375,0.04492188,-0.3603516,-0.175293
