Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-4.0625,0.5625,-2.3125,0.9350586,-0.3442383,-0.1591797,-0.3164063,0.03857422,-0.08691406
4,-3.5,0.4375,-1.6875,0.9350586,-0.3325195,-0.1708984,-0.3149414,0.03857422,-0.08691406
8,-5.1875,1.4375,-0.75,0.9462891,-0.3134766,-0.1552734,-0.3164063,0.03759766,-0.08691406
12,-7.625,2,-1,0.9423828,-0.3173828,-0.1513672,-0.3173828,0.04003906,-0.08837891
16,-7.5,2.1875,-1,0.9389648,-0.3325195,-0.1552734,-0.3149414,0.03857422,-0.08837891
20,-5.875,1.6875,-1.5,0.9311523,-0.340332,-0.1669922,-0.3149414,0.03857422,-0.08691406
24,-5.1875,1.5,-2.0625,0.9462891,-0.3208008,-0.1591797,-0.3149414,0.03857422,-0.08837891
28,-5.625,2.4375,-2.0625,0.9501953,-0.3056641,-0.1669922,-0.3164063,0.03857422,-0.08837891
32,-7.0625,2.625,-2.375,0.9423828,-0.3017578,-0.1591797,-0.3139648,0.03857422,-0.08837891
36,-6.9375,2.75,-2.6875,0.9350586,-0.3056641,-0.1513672,-0.3164063,0.03857422,-0.08837891
40,-6.125,2.0625,-2.5625,0.9350586,-0.3095703,-0.1513672,-0.3149414,0.03759766,-0.08691406
44,-5.1875,2.0625,-2.5,0.9389648,-0.3095703,-0.1513672,-0.3149414,0.03613281,-0.08691406
48,-4.4375,2.125,-1.625,0.9389648,-0.2978516,-0.1435547,-0.3139648,0.04003906,-0.08691406
52,-4.375,2.1875,-2.125,0.9462891,-0.3017578,-0.1513672,-0.3164063,0.03759766,-0.08837891
56,-4.3125,1.5,-3.125,0.9423828,-0.2978516,-0.1513672,-0.3149414,0.03613281,-0.08837891
60,-3.125,1.1875,-3.6875,0.9423828,-0.3056641,-0.1513672,-0.3149414,0.04003906,-0.08837891
64,-1.5625,1.1875,-3.25,0.9501953,-0.2978516,-0.1513672,-0.3164063,0.03759766,-0.08984375
68,-0.625,1.75,-2.1875,0.9541016,-0.2861328,-0.1513672,-0.3164063,0.03613281,-0.08837891
72,-0.8125,2,-1.625,0.9501953,-0.2822266,-0.1435547,-0.3149414,0.03759766,-0.08984375
76,0.3125,1.875,-0.75,0.9501953,-0.3017578,-0.1435547,-0.3149414,0.03759766,-0.08837891
80,1.375,1.625,-1.125,0.9580078,-0.2900391,-0.1474609,-0.3164063,0.03613281,-0.08837891
84,1.4375,1.1875,-1,0.9462891,-0.2939453,-0.1362305,-0.3164063,0.03613281,-0.09082031
89,1.1875,1.375,-1.3125,0.9580078,-0.2861328,-0.1323242,-0.3149414,0.03759766,-0.08837891
93,0.5625,1.0625,-1.4375,0.9462891,-0.3017578,-0.1435547,-0.3173828,0.03759766,-0.08984375
97,0.875,0.25,-0.75,0.9423828,-0.3056641,-0.1401367,-0.3164063,0.03613281,-0.08837891
101,0.3125,-0.25,-1.875,0.9462891,-0.2978516,-0.1323242,-0.3149414,0.03759766,-0.08984375
105,0.125,-0.625,-2.125,0.9462891,-0.3134766,-0.1362305,-0.3164063,0.03613281,-0.09082031
109,-0.1875,-0.125,-3.4375,0.9580078,-0.3056641,-0.1552734,-0.3139648,0.03369141,-0.08837891
113,-0.0625,0.3125,-5.0625,0.9541016,-0.3208008,-0.1474609,-0.3139648,0.03271484,-0.08984375
117,0.8125,2.375,-7.1875,0.9619141,-0.324707,-0.1474609,-0.3149414,0.03515625,-0.08691406
121,2.4375,2.125,-7.125,0.9389648,-0.3325195,-0.1513672,-0.3164063,0.03515625,-0.08837891
125,3.875,0.9375,-6.5,0.9389648,-0.3095703,-0.1513672,-0.3164063,0.03369141,-0.08984375
129,3.1875,1,-7.5,0.9501953,-0.2861328,-0.1435547,-0.3149414,0.03369141,-0.09082031
133,2.5,0.5625,-6.8125,0.9389648,-0.2900391,-0.1591797,-0.3149414,0.03271484,-0.08837891
137,1.125,-0.5625,-4.6875,0.9389648,-0.2783203,-0.1552734,-0.3164063,0.03027344,-0.09082031
141,-0.8125,-0.625,-3.3125,0.9580078,-0.2822266,-0.1362305,-0.3164063,0.03125,-0.08837891
145,-0.4375,0.5625,-2.875,0.9619141,-0.3056641,-0.1435547,-0.3149414,0.03125,-0.08984375
149,1.75,2.0625,-1.125,0.9580078,-0.3208008,-0.1401367,-0.3173828,0.03027344,-0.09082031
153,3.1875,1.4375,-0.5,0.9389648,-0.3095703,-0.1245117,-0.3173828,0.02880859,-0.09082031
157,2.0625,0.5625,-0.625,0.9423828,-0.2822266,-0.128418,-0.3164063,0.03125,-0.09082031
161,-1.0625,-0.375,-2,0.9350586,-0.2939453,-0.1206055,-0.3164063,0.03125,-0.09082031
165,-1.25,-2.375,-1.5625,0.9311523,-0.3017578,-0.1362305,-0.3173828,0.03027344,-0.08837891
169,0.5625,-3.125,-1,0.9501953,-0.3056641,-0.1362305,-0.3173828,0.03027344,-0.09082031
173,-3.625,-2.4375,-6.8125,1.206055,-0.4375,-0.2475586,-0.3173828,0.02880859,-0.08691406
177,6.125,0.875,-7,1.194336,-0.4140625,-0.1938477,-0.3173828,0.02880859,-0.08447266
181,8.8125,3.5625,-9.0625,1.171387,-0.3754883,-0.1435547,-0.3173828,0.02880859,-0.08544922
185,6.4375,0.25,-9,1.101563,-0.3442383,-0.09765625,-0.3173828,0.02734375,-0.08691406
189,-1.9375,-8.875,-13.0625,1.078125,-0.340332,-0.07080078,-0.3173828,0.02490234,-0.08544922
193,-11.5,-20.125,-19.5625,1.097656,-0.3481445,-0.1054688,-0.3188477,0.02490234,-0.08544922
197,-16.5625,-29.8125,-24,1.206055,-0.4179688,-0.1513672,-0.3198242,0.02392578,-0.08544922
201,-16.8125,-34.0625,-27,1.330078,-0.4257813,-0.1899414,-0.3188477,0.02148438,-0.08007813
205,-14.3125,-35.25,-27.375,1.361328,-0.46875,-0.2055664,-0.3208008,0.01757813,-0.07617188
209,-9.5625,-35.3125,-26.3125,1.364746,-0.4648438,-0.2016602,-0.3222656,0.01367188,-0.07177734
213,-5.9375,-34.75,-27.375,1.364746,-0.4648438,-0.2016602,-0.3232422,0.01367188,-0.07080078
217,-5.75,-35.6875,-31.0625,1.310547,-0.3833008,-0.2167969,-0.3222656,0.01269531,-0.06640625
221,-9.6875,-37.0625,-33.1875,1.283691,-0.3481445,-0.2167969,-0.3256836,0.007324219,-0.06103516
225,-12.4375,-37,-35.25,1.279785,-0.3095703,-0.2285156,-0.3271484,0.006347656,-0.06103516
229,-11,-33.125,-34.25,1.271973,-0.2431641,-0.2246094,-0.3295898,0.001464844,-0.05712891
233,-11.5625,-24.875,-30.125,1.198242,-0.1967773,-0.2128906,-0.328125,0.001464844,-0.05273438
237,-15.25,-21.1875,-29.8125,1.132324,-0.1347656,-0.1977539,-0.3271484,-0.0004882813,-0.05419922
241,-17,-26.0625,-33.5,1.101563,-0.1308594,-0.1743164,-0.3295898,-0.004394531,-0.05029297
245,-13.0625,-34.375,-31.6875,1.101563,-0.08007813,-0.2363281,-0.3295898,-0.008300781,-0.04638672
249,-13.5,-34.4375,-31.625,1.19043,0.004882813,-0.2744141,-0.328125,-0.01074219,-0.04052734
253,-17.8125,-28.375,-22.875,1.186523,0.02050781,-0.2744141,-0.3295898,-0.01318359,-0.04052734
257,-17.5625,-16.9375,-20.25,1.163574,-0.06445313,-0.2285156,-0.3305664,-0.01464844,-0.03955078
261,-1,-5.0625,-15.125,1.066406,-0.1269531,-0.1669922,-0.3271484,-0.01806641,-0.03808594
265,10.5,1.625,-15.8125,0.9462891,-0.09570313,-0.1821289,-0.3305664,-0.01953125,-0.03662109
269,15.6875,3.9375,-17.8125,0.8652344,-0.1152344,-0.2246094,-0.3305664,-0.01953125,-0.03808594
273,16.25,4.1875,-23.125,0.8920898,-0.07617188,-0.2978516,-0.3305664,-0.02197266,-0.03662109
277,13.1875,4.4375,-23.5625,1.008301,0.05908203,-0.3476563,-0.3305664,-0.0234375,-0.03955078
281,-2.8125,12.375,-21.125,1.074219,0.1914063,-0.3974609,-0.3295898,-0.02685547,-0.03955078
285,-25.4375,21.5,-15.125,0.9501953,0.1835938,-0.4399414,-0.328125,-0.02685547,-0.03955078
289,-39.1875,26.875,-9.6875,0.8842773,0.05517578,-0.4555664,-0.3295898,-0.02929688,-0.04199219
294,-45.875,38.6875,-15.25,0.8691406,-0.04882813,-0.4936523,-0.328125,-0.03076172,-0.04492188
298,-38.875,54.5,-10.875,0.9038086,-0.1035156,-0.4667969,-0.3305664,-0.03076172,-0.04736328
302,-30.625,78.9375,9.5625,0.7641602,-0.01806641,-0.4516602,-0.3295898,-0.03320313,-0.05566406
306,-28.5,97.8125,31.0625,0.4389648,-0.03369141,-0.2978516,-0.328125,-0.02832031,-0.0625
310,-33.375,97.5,37.375,0.1831055,-0.01025391,-0.1513672,-0.3256836,-0.02832031,-0.07080078
314,-44.4375,90,31.1875,0.03173828,-0.1035156,0.01708984,-0.324707,-0.02050781,-0.07763672
318,-48.625,72.375,18.9375,-0.02587891,-0.2470703,0.1171875,-0.3208008,-0.01953125,-0.08544922
322,-35.8125,47.25,7.375,0.03564453,-0.402832,0.2133789,-0.3198242,-0.01708984,-0.09082031
326,-10.75,26.125,2.375,0.09375,-0.4570313,0.2441406,-0.3198242,-0.015625,-0.09375
330,16.25,2.4375,-5,0.1210938,-0.4375,0.1518555,-0.3173828,-0.01806641,-0.09521484
334,37,-20.25,-15.3125,0.2568359,-0.2939453,-0.005371094,-0.3188477,-0.01806641,-0.09521484
338,48.1875,-36.125,-15.875,0.3339844,-0.1811523,-0.09765625,-0.3208008,-0.01953125,-0.09521484
342,46.5625,-46.9375,-16.3125,0.3999023,-0.01416016,-0.2783203,-0.3198242,-0.02441406,-0.08984375
346,34.4375,-52.1875,-15.125,0.5395508,0.06298828,-0.4438477,-0.3208008,-0.02587891,-0.08837891
350,21.875,-50.4375,-5.375,0.6289063,0.06689453,-0.5209961,-0.3232422,-0.02685547,-0.08154297
354,7.125,-47.375,1.0625,0.6713867,0.09033203,-0.559082,-0.3232422,-0.02587891,-0.07763672
358,-6.875,-40.125,7.875,0.6713867,-0.09179688,-0.4975586,-0.324707,-0.02587891,-0.07470703
