Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-5.6875,2.375,-5.25,0.9853516,-0.1230469,-0.02832031,-0.2890625,-0.07958984,-0.06787109
5,-5.4375,2.8125,-6.25,0.9892578,-0.1381836,-0.03613281,-0.2900391,-0.07958984,-0.06787109
9,-4.3125,2.5625,-5,0.9775391,-0.1499023,-0.02050781,-0.2890625,-0.07958984,-0.06640625
13,-4.75,1.3125,-3.6875,0.9814453,-0.1616211,-0.03613281,-0.2890625,-0.07958984,-0.07080078
17,-3.5,1.1875,-3.3125,0.9697266,-0.1655273,-0.02050781,-0.2890625,-0.08056641,-0.06640625
21,-2.625,1.0625,-1.6875,0.9658203,-0.1538086,-0.02050781,-0.2890625,-0.08056641,-0.07080078
25,-1.9375,0.0625,0,0.9580078,-0.1459961,-0.01660156,-0.2890625,-0.08056641,-0.06787109
29,-1.625,0.75,-0.5,0.9931641,-0.1191406,0.005859375,-0.2915039,-0.08203125,-0.06787109
33,-4.1875,2.125,-1.625,0.9892578,-0.1035156,0.009765625,-0.2890625,-0.08056641,-0.06787109
37,-7.375,2.4375,-1.1875,0.9814453,-0.1420898,-0.01318359,-0.2875977,-0.08203125,-0.06933594
41,-5.1875,1,-0.4375,0.9892578,-0.1811523,-0.01318359,-0.2890625,-0.08203125,-0.06787109
45,-2.125,1.125,-0.3125,0.9853516,-0.1694336,-0.01318359,-0.2900391,-0.08056641,-0.06933594
49,-2.3125,1.625,-2.5625,0.9814453,-0.1191406,-0.02832031,-0.2875977,-0.07958984,-0.06933594
53,-5.3125,1.1875,-3.125,0.9541016,-0.1230469,-0.03613281,-0.2875977,-0.08203125,-0.07080078
57,-7,0.4375,-2,0.9541016,-0.1538086,-0.02441406,-0.2900391,-0.08300781,-0.07177734
61,-5.4375,-1.0625,0,0.9580078,-0.1733398,-0.02832031,-0.2890625,-0.08056641,-0.06933594
65,-3.625,-1.1875,1,0.9970703,-0.1616211,-0.001464844,-0.2890625,-0.08203125,-0.07080078
69,-3.75,-0.1875,0.5625,0.9931641,-0.1420898,0.009765625,-0.2875977,-0.08056641,-0.07080078
73,-5.5,1.25,0.0625,0.9853516,-0.1538086,-0.01318359,-0.2900391,-0.08056641,-0.06933594
77,-6.1875,1.625,1.8125,0.9580078,-0.1733398,-0.02832031,-0.2875977,-0.08203125,-0.06933594
81,-2.0625,-1.375,3.375,0.9389648,-0.2006836,-0.02050781,-0.2890625,-0.07958984,-0.06933594
85,4.4375,-3.1875,5.0625,0.9580078,-0.1850586,-0.005371094,-0.2900391,-0.08056641,-0.07080078
89,10.1875,-5.6875,6.5625,0.9580078,-0.1152344,0.001953125,-0.2890625,-0.07958984,-0.07177734
93,10.375,-5.4375,2.9375,1.027832,-0.02978516,0.03662109,-0.2900391,-0.08056641,-0.07080078
